Disaster Subgroup,Disaster Type,Disaster Subtype,ISO,Country,Subregion,Region,Latitude,Longitude,Start Year,Total Deaths
Biological,Epidemic,Bacterial disease,AFG,Afghanistan,Southern Asia,Asia,,,2008,17
Meteorological,Storm,Tropical cyclone,ATG,Antigua and Barbuda,Latin America and the Caribbean,Americas,,,2008,
Meteorological,Storm,Tropical cyclone,KNA,Saint Kitts and Nevis,Latin America and the Caribbean,Americas,,,2008,
Biological,Epidemic,Bacterial disease,BEN,Benin,Sub-Saharan Africa,Africa,,,2008,2
Hydrological,Flood,Riverine flood,VNM,Viet Nam,South-eastern Asia,Asia,18.89,107.06,2008,9
Hydrological,Flood,Riverine flood,PHL,Philippines,South-eastern Asia,Asia,,,2008,
Meteorological,Storm,Tropical cyclone,PHL,Philippines,South-eastern Asia,Asia,,,2008,1
Hydrological,Flood,Riverine flood,PHL,Philippines,South-eastern Asia,Asia,,,2008,
Hydrological,Flood,Riverine flood,IND,India,Southern Asia,Asia,27.5,89.79,2008,142
Meteorological,Extreme temperature,Cold wave,IND,India,Southern Asia,Asia,,,2008,70
Hydrological,Flood,Riverine flood,IDN,Indonesia,South-eastern Asia,Asia,,,2008,5
Hydrological,Flood,Riverine flood,PHL,Philippines,South-eastern Asia,Asia,,,2008,7
Meteorological,Storm,Tropical cyclone,PHL,Philippines,South-eastern Asia,Asia,,,2008,2
Hydrological,Flood,Riverine flood,PHL,Philippines,South-eastern Asia,Asia,,,2008,6
Meteorological,Storm,Tropical cyclone,PHL,Philippines,South-eastern Asia,Asia,,,2008,1
Geophysical,Mass movement (dry),Landslide (dry),PNG,Papua New Guinea,Melanesia,Oceania,,,2008,10
Hydrological,Flood,Riverine flood,USA,United States of America,Northern America,Americas,,,2008,24
Hydrological,Flood,Riverine flood,MOZ,Mozambique,Sub-Saharan Africa,Africa,-22.92,34.03,2008,25
Hydrological,Flood,Riverine flood,ZMB,Zambia,Sub-Saharan Africa,Africa,,,2008,4
Hydrological,Flood,Riverine flood,GHA,Ghana,Sub-Saharan Africa,Africa,,,2008,
Hydrological,Flood,Riverine flood,MLI,Mali,Sub-Saharan Africa,Africa,,,2008,
Meteorological,Extreme temperature,Cold wave,BEL,Belgium,Western Europe,Europe,,,2009,1
Meteorological,Extreme temperature,Cold wave,DEU,Germany,Western Europe,Europe,,,2009,1
Meteorological,Extreme temperature,Cold wave,FRA,France,Western Europe,Europe,,,2009,2
Meteorological,Extreme temperature,Cold wave,POL,Poland,Eastern Europe,Europe,,,2008,82
Meteorological,Extreme temperature,Cold wave,PRT,Portugal,Southern Europe,Europe,,,2009,
Meteorological,Extreme temperature,Cold wave,ROU,Romania,Eastern Europe,Europe,,,2009,43
Meteorological,Extreme temperature,Cold wave,UKR,Ukraine,Eastern Europe,Europe,,,2009,5
Hydrological,Flood,Flash flood,MYS,Malaysia,South-eastern Asia,Asia,6.64,101.1,2008,
Hydrological,Flood,Flash flood,THA,Thailand,South-eastern Asia,Asia,6.64,101.1,2008,
Hydrological,Flood,Riverine flood,IDN,Indonesia,South-eastern Asia,Asia,-3.33,103.14,2008,24
Hydrological,Flood,Riverine flood,USA,United States of America,Northern America,Americas,42.84,-123.77,2008,
Hydrological,Flood,Riverine flood,MWI,Malawi,Sub-Saharan Africa,Africa,,,2008,
Meteorological,Storm,Storm (General),TZA,United Republic of Tanzania,Sub-Saharan Africa,Africa,,,2008,
Meteorological,Storm,Storm (General),TZA,United Republic of Tanzania,Sub-Saharan Africa,Africa,,,2008,
Meteorological,Storm,Tropical cyclone,BGD,Bangladesh,Southern Asia,Asia,,,2008,12
Meteorological,Storm,Tornado,USA,United States of America,Northern America,Americas,,,2008,
Meteorological,Storm,Sand/Dust storm,IND,India,Southern Asia,Asia,,,2008,111
Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",ZAF,South Africa,Sub-Saharan Africa,Africa,,,2008,34
Meteorological,Storm,Tropical cyclone,BGD,Bangladesh,Southern Asia,Asia,,,2008,15
Geophysical,Earthquake,Ground movement,COL,Colombia,Latin America and the Caribbean,Americas,4.33,-73.764,2008,11
Geophysical,Earthquake,Ground movement,CHN,China,Eastern Asia,Asia,32.56,105.423,2008,8
Meteorological,Storm,Sand/Dust storm,CHN,China,Eastern Asia,Asia,,,2008,
Meteorological,Storm,Hail,CHN,China,Eastern Asia,Asia,,,2008,10
Meteorological,Storm,Severe weather,DEU,Germany,Western Europe,Europe,,,2008,3
Meteorological,Storm,Blizzard/Winter storm,USA,United States of America,Northern America,Americas,,,2008,5
Biological,Epidemic,Bacterial disease,TGO,Togo,Sub-Saharan Africa,Africa,,,2008,6
Geophysical,Volcanic activity,Ash fall,VUT,Vanuatu,Melanesia,Oceania,,,2008,
Biological,Epidemic,Viral disease,BOL,Bolivia (Plurinational State of),Latin America and the Caribbean,Americas,,,2008,27
Biological,Epidemic,Viral disease,PRY,Paraguay,Latin America and the Caribbean,Americas,,,2008,
Meteorological,Extreme temperature,Heat wave,JPN,Japan,Eastern Asia,Asia,,,2008,47
Biological,Epidemic,Viral disease,BFA,Burkina Faso,Sub-Saharan Africa,Africa,,,2008,300
Climatological,Drought,Drought,THA,Thailand,South-eastern Asia,Asia,,,2008,
Climatological,Drought,Drought,ERI,Eritrea,Sub-Saharan Africa,Africa,,,2008,
Climatological,Drought,Drought,ETH,Ethiopia,Sub-Saharan Africa,Africa,,,2008,
Climatological,Drought,Drought,KEN,Kenya,Sub-Saharan Africa,Africa,,,2008,4
Climatological,Drought,Drought,DJI,Djibouti,Sub-Saharan Africa,Africa,,,2008,
Climatological,Drought,Drought,UGA,Uganda,Sub-Saharan Africa,Africa,,,2008,
Climatological,Drought,Drought,TJK,Tajikistan,Central Asia,Asia,,,2008,
Climatological,Drought,Drought,SOM,Somalia,Sub-Saharan Africa,Africa,,,2008,
Climatological,Drought,Drought,AFG,Afghanistan,Southern Asia,Asia,,,2008,
Climatological,Drought,Drought,PRY,Paraguay,Latin America and the Caribbean,Americas,,,2008,4
Climatological,Drought,Drought,MOZ,Mozambique,Sub-Saharan Africa,Africa,,,2008,
Climatological,Drought,Drought,BDI,Burundi,Sub-Saharan Africa,Africa,,,2008,
Climatological,Drought,Drought,MDG,Madagascar,Sub-Saharan Africa,Africa,,,2008,
Climatological,Drought,Drought,BOL,Bolivia (Plurinational State of),Latin America and the Caribbean,Americas,,,2008,
Climatological,Drought,Drought,CHN,China,Eastern Asia,Asia,,,2008,
Climatological,Drought,Drought,SYR,Syrian Arab Republic,Western Asia,Asia,,,2008,
Geophysical,Earthquake,Ground movement,IDN,Indonesia,South-eastern Asia,Asia,-0.414,132.885,2009,5
Geophysical,Earthquake,Ground movement,CRI,Costa Rica,Latin America and the Caribbean,Americas,10.165,-84.197,2009,31
Geophysical,Mass movement (dry),Landslide (dry),GTM,Guatemala,Latin America and the Caribbean,Americas,,,2009,36
Meteorological,Storm,Lightning/Thunderstorms,ZAF,South Africa,Sub-Saharan Africa,Africa,,,2009,18
Hydrological,Flood,Riverine flood,FJI,Fiji,Melanesia,Oceania,-17.74,178.05,2009,12
Meteorological,Storm,Extra-tropical storm,ESP,Spain,Southern Europe,Europe,,,2009,14
Meteorological,Storm,Extra-tropical storm,FRA,France,Western Europe,Europe,42.24,-2.6,2009,11
Meteorological,Storm,Extra-tropical storm,ITA,Italy,Southern Europe,Europe,,,2009,3
Hydrological,Flood,Riverine flood,ROU,Romania,Eastern Europe,Europe,47.61,24.93,2009,11
Hydrological,Flood,Riverine flood,DOM,Dominican Republic,Latin America and the Caribbean,Americas,19.32,-70.14,2009,2
Hydrological,Flood,Riverine flood,BRA,Brazil,Latin America and the Caribbean,Americas,-16.59,-44.89,2009,16
Hydrological,Flood,Riverine flood,DZA,Algeria,Northern Africa,Africa,29.61,0.71,2009,33
Hydrological,Flood,Riverine flood,PHL,Philippines,South-eastern Asia,Asia,,,2009,33
Hydrological,Flood,Riverine flood,PHL,Philippines,South-eastern Asia,Asia,,,2009,
Hydrological,Flood,Flash flood,PHL,Philippines,South-eastern Asia,Asia,,,2009,
Meteorological,Extreme temperature,Severe winter conditions,FRA,France,Western Europe,Europe,,,2009,3
Meteorological,Extreme temperature,Severe winter conditions,BIH,Bosnia and Herzegovina,Southern Europe,Europe,,,2009,1
Meteorological,Extreme temperature,Severe winter conditions,SRB,Serbia,Southern Europe,Europe,,,2009,
Hydrological,Mass movement (wet),Avalanche (wet),AFG,Afghanistan,Southern Asia,Asia,,,2009,10
Hydrological,Flood,Riverine flood,COL,Colombia,Latin America and the Caribbean,Americas,4.36,-76.51,2009,23
Hydrological,Flood,Riverine flood,AGO,Angola,Sub-Saharan Africa,Africa,-9.84,14.15,2009,2
Hydrological,Flood,Riverine flood,SLB,Solomon Islands,Melanesia,Oceania,-8.14,-158.66,2009,21
Hydrological,Mass movement (wet),Landslide (wet),ARG,Argentina,Latin America and the Caribbean,Americas,-24.15,-64.29,2009,4
Hydrological,Flood,Riverine flood,DOM,Dominican Republic,Latin America and the Caribbean,Americas,19.28,-70.08,2009,5
Hydrological,Flood,Riverine flood,MAR,Morocco,Northern Africa,Africa,32.65,-6.16,2009,24
Meteorological,Storm,Tropical cyclone,MDG,Madagascar,Sub-Saharan Africa,Africa,-17.69,46.42,2009,12
Meteorological,Storm,Tropical cyclone,AUS,Australia,Australia and New Zealand,Oceania,-20.11,120.56,2009,
Hydrological,Mass movement (wet),Landslide (wet),IDN,Indonesia,South-eastern Asia,Asia,,,2009,15
Meteorological,Storm,Storm (General),TZA,United Republic of Tanzania,Sub-Saharan Africa,Africa,,,2009,
Hydrological,Mass movement (wet),Avalanche (wet),TUR,Türkiye,Western Asia,Asia,,,2009,11
Meteorological,Extreme temperature,Cold wave,USA,United States of America,Northern America,Americas,,,2009,58
Biological,Infestation,Worms infestation,LBR,Liberia,Sub-Saharan Africa,Africa,,,2009,
Geophysical,Earthquake,Ground movement,CHN,China,Eastern Asia,Asia,43.236,80.893,2009,
Hydrological,Flood,Flash flood,IDN,Indonesia,South-eastern Asia,Asia,-2.63,120.26,2009,18
Meteorological,Storm,Storm (General),CAF,Central African Republic,Sub-Saharan Africa,Africa,,,2009,3
Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",AUS,Australia,Australia and New Zealand,Oceania,,,2009,180
Hydrological,Flood,Riverine flood,BIH,Bosnia and Herzegovina,Southern Europe,Europe,43.5,18.18,2009,
Biological,Epidemic,Viral disease,BFA,Burkina Faso,Sub-Saharan Africa,Africa,,,2009,389
Hydrological,Mass movement (wet),Rockfall (wet),PER,Peru,Latin America and the Caribbean,Americas,,,2009,33
Biological,Epidemic,Viral disease,MLI,Mali,Sub-Saharan Africa,Africa,,,2009,10
Biological,Epidemic,Viral disease,NER,Niger,Sub-Saharan Africa,Africa,,,2009,169
Biological,Epidemic,Viral disease,NGA,Nigeria,Sub-Saharan Africa,Africa,,,2009,1701
Hydrological,Flood,Riverine flood,ECU,Ecuador,Latin America and the Caribbean,Americas,,,2009,3
Hydrological,Flood,Riverine flood,AGO,Angola,Sub-Saharan Africa,Africa,16.68,-17.08,2009,60
Hydrological,Flood,Riverine flood,BWA,Botswana,Sub-Saharan Africa,Africa,,,2009,
Hydrological,Flood,Riverine flood,COM,Comoros,Sub-Saharan Africa,Africa,,,2009,2
Hydrological,Flood,Riverine flood,MOZ,Mozambique,Sub-Saharan Africa,Africa,,,2009,
Hydrological,Flood,Riverine flood,NAM,Namibia,Sub-Saharan Africa,Africa,,,2009,92
Biological,Epidemic,Bacterial disease,AGO,Angola,Sub-Saharan Africa,Africa,,,2009,9
Hydrological,Mass movement (wet),Landslide (wet),COL,Colombia,Latin America and the Caribbean,Americas,,,2009,
Hydrological,Flood,Riverine flood,ZMB,Zambia,Sub-Saharan Africa,Africa,-18.76,24.23,2009,31
Hydrological,Flood,Riverine flood,USA,United States of America,Northern America,Americas,48.25,-97.03,2009,2
Hydrological,Flood,Riverine flood,ZAF,South Africa,Sub-Saharan Africa,Africa,-29.41,30.82,2009,3
Hydrological,Flood,Riverine flood,BOL,Bolivia (Plurinational State of),Latin America and the Caribbean,Americas,-18.76,-62.62,2009,
Geophysical,Earthquake,Ground movement,IDN,Indonesia,South-eastern Asia,Asia,3.886,126.387,2009,
Hydrological,Flood,Riverine flood,IDN,Indonesia,South-eastern Asia,Asia,6.55,106.36,2009,64
Meteorological,Storm,Tropical cyclone,MDG,Madagascar,Sub-Saharan Africa,Africa,,,2009,
Meteorological,Storm,Tropical cyclone,MOZ,Mozambique,Sub-Saharan Africa,Africa,,,2009,
Biological,Epidemic,Viral disease,ARG,Argentina,Latin America and the Caribbean,Americas,,,2009,6
Biological,Epidemic,Viral disease,BRA,Brazil,Latin America and the Caribbean,Americas,,,2009,23
Meteorological,Storm,Tornado,IND,India,Southern Asia,Asia,,,2009,15
Geophysical,Earthquake,Ground movement,ITA,Italy,Southern Europe,Europe,42.334,13.334,2009,295
Meteorological,Storm,Tropical cyclone,MDG,Madagascar,Sub-Saharan Africa,Africa,,,2009,15
Hydrological,Flood,Flash flood,AFG,Afghanistan,Southern Asia,Asia,,,2009,19
Meteorological,Storm,Tornado,USA,United States of America,Northern America,Americas,,,2009,9
Hydrological,Mass movement (wet),Landslide (wet),PER,Peru,Latin America and the Caribbean,Americas,,,2009,20
Hydrological,Flood,Riverine flood,BDI,Burundi,Sub-Saharan Africa,Africa,-3.27,29.75,2009,
Hydrological,Flood,Flash flood,PAK,Pakistan,Southern Asia,Asia,,,2009,14
Biological,Epidemic,Viral disease,TCD,Chad,Sub-Saharan Africa,Africa,,,2009,102
Hydrological,Mass movement (wet),Landslide (wet),PER,Peru,Latin America and the Caribbean,Americas,,,2009,33
Geophysical,Earthquake,Ground movement,AFG,Afghanistan,Southern Asia,Asia,34.185,70.076,2009,22
Meteorological,Storm,Tropical cyclone,BGD,Bangladesh,Southern Asia,Asia,,,2009,7
Meteorological,Storm,Severe weather,BEN,Benin,Sub-Saharan Africa,Africa,,,2009,
Meteorological,Storm,Severe weather,CAF,Central African Republic,Sub-Saharan Africa,Africa,,,2009,
Hydrological,Flood,Riverine flood,BRA,Brazil,Latin America and the Caribbean,Americas,-3.19,-45.43,2009,56
Meteorological,Storm,Tropical cyclone,PHL,Philippines,South-eastern Asia,Asia,,,2009,77
Hydrological,Flood,Riverine flood,AFG,Afghanistan,Southern Asia,Asia,33.07,63.59,2009,39
Meteorological,Storm,Severe weather,GAB,Gabon,Sub-Saharan Africa,Africa,,,2009,
Hydrological,Flood,Riverine flood,VUT,Vanuatu,Melanesia,Oceania,,,2009,
Meteorological,Storm,Tropical cyclone,PHL,Philippines,South-eastern Asia,Asia,,,2009,29
Meteorological,Extreme temperature,Heat wave,IND,India,Southern Asia,Asia,,,2009,120
Hydrological,Flood,Riverine flood,TJK,Tajikistan,Central Asia,Asia,38.51,71.29,2009,21
Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",USA,United States of America,Northern America,Americas,,,2009,
Hydrological,Flood,Riverine flood,USA,United States of America,Northern America,Americas,37.66,-81.28,2009,
Hydrological,Flood,Riverine flood,CAN,Canada,Northern America,Americas,47.16,-67.63,2009,
Hydrological,Flood,Riverine flood,USA,United States of America,Northern America,Americas,30.84,-85.23,2009,
Hydrological,Mass movement (wet),Landslide (wet),PHL,Philippines,South-eastern Asia,Asia,,,2009,10
Meteorological,Storm,Tornado,PHL,Philippines,South-eastern Asia,Asia,,,2009,
Hydrological,Flood,Flash flood,PHL,Philippines,South-eastern Asia,Asia,,,2009,
Hydrological,Flood,Riverine flood,PHL,Philippines,South-eastern Asia,Asia,,,2009,
Hydrological,Flood,Riverine flood,HTI,Haiti,Latin America and the Caribbean,Americas,19.56,-72.33,2009,11
Biological,Epidemic,Viral disease,COK,Cook Islands,Polynesia,Oceania,,,2009,
Biological,Epidemic,Bacterial disease,KEN,Kenya,Sub-Saharan Africa,Africa,,,2009,201
Meteorological,Storm,Tropical cyclone,BGD,Bangladesh,Southern Asia,Asia,22.16,89.09,2009,190
Meteorological,Storm,Tropical cyclone,BTN,Bhutan,Southern Asia,Asia,,,2009,12
Meteorological,Storm,Tropical cyclone,IND,India,Southern Asia,Asia,,,2009,96
Geophysical,Earthquake,Ground movement,HND,Honduras,Latin America and the Caribbean,Americas,16.731,-86.217,2009,7
Hydrological,Flood,Riverine flood,BRA,Brazil,Latin America and the Caribbean,Americas,,,2009,4
Hydrological,Mass movement (wet),Landslide (wet),PNG,Papua New Guinea,Melanesia,Oceania,,,2009,19
Hydrological,Mass movement (wet),Landslide (wet),CHN,China,Eastern Asia,Asia,,,2009,72
Hydrological,Flood,Riverine flood,CHN,China,Eastern Asia,Asia,,,2009,49
Meteorological,Storm,Severe weather,CHN,China,Eastern Asia,Asia,,,2009,52
Hydrological,Mass movement (wet),Landslide (wet),CIV,Côte d’Ivoire,Sub-Saharan Africa,Africa,,,2009,27
Meteorological,Storm,Hail,CHN,China,Eastern Asia,Asia,,,2009,15
Hydrological,Flood,Riverine flood,CHN,China,Eastern Asia,Asia,,,2009,11
Hydrological,Flood,Riverine flood,AUT,Austria,Western Europe,Europe,,,2009,1
Hydrological,Flood,Riverine flood,CZE,Czechia,Eastern Europe,Europe,50.13,18.03,2009,13
Hydrological,Flood,Riverine flood,DEU,Germany,Western Europe,Europe,,,2009,
Hydrological,Flood,Riverine flood,POL,Poland,Eastern Europe,Europe,,,2009,1
Hydrological,Flood,Riverine flood,ROU,Romania,Eastern Europe,Europe,,,2009,
Meteorological,Storm,Severe weather,AUS,Australia,Australia and New Zealand,Oceania,-29.05,152.73,2009,1
Hydrological,Flood,Riverine flood,BWA,Botswana,Sub-Saharan Africa,Africa,-16.7,23.32,2009,
Hydrological,Flood,Riverine flood,GTM,Guatemala,Latin America and the Caribbean,Americas,13.42,-88.64,2009,
Hydrological,Flood,Riverine flood,NIC,Nicaragua,Latin America and the Caribbean,Americas,13.42,-88.64,2009,
Hydrological,Flood,Riverine flood,CHN,China,Eastern Asia,Asia,26.85,110.28,2009,11
Hydrological,Flood,Riverine flood,GHA,Ghana,Sub-Saharan Africa,Africa,5.73,-0.1,2009,16
Hydrological,Flood,Riverine flood,BRA,Brazil,Latin America and the Caribbean,Americas,,,2009,
Meteorological,Storm,Tropical cyclone,PHL,Philippines,South-eastern Asia,Asia,,,2009,16
Meteorological,Storm,Lightning/Thunderstorms,IND,India,Southern Asia,Asia,,,2009,35
Hydrological,Flood,Riverine flood,BEN,Benin,Sub-Saharan Africa,Africa,,,2009,7
Hydrological,Flood,Riverine flood,BFA,Burkina Faso,Sub-Saharan Africa,Africa,,,2009,
Hydrological,Flood,Riverine flood,LBR,Liberia,Sub-Saharan Africa,Africa,,,2009,2
Hydrological,Flood,Riverine flood,TGO,Togo,Sub-Saharan Africa,Africa,,,2009,
Meteorological,Storm,Severe weather,USA,United States of America,Northern America,Americas,,,2009,6
Hydrological,Flood,Riverine flood,VNM,Viet Nam,South-eastern Asia,Asia,20.67,104.3,2009,20
Geophysical,Earthquake,Ground movement,CHN,China,Eastern Asia,Asia,25.632,101.095,2009,1
Biological,Epidemic,Viral disease,LKA,Sri Lanka,Southern Asia,Asia,,,2009,346
Hydrological,Mass movement (wet),Landslide (wet),MMR,Myanmar,South-eastern Asia,Asia,,,2009,24
Meteorological,Storm,Severe weather,GMB,Gambia,Sub-Saharan Africa,Africa,,,2009,
Hydrological,Flood,Riverine flood,CAF,Central African Republic,Sub-Saharan Africa,Africa,,,2009,1
Biological,Epidemic,Bacterial disease,UGA,Uganda,Sub-Saharan Africa,Africa,,,2009,8
Biological,Epidemic,Bacterial disease,NPL,Nepal,Southern Asia,Asia,,,2009,314
Hydrological,Flood,Riverine flood,ZAF,South Africa,Sub-Saharan Africa,Africa,-33.07,18.92,2009,11
Hydrological,Flood,Riverine flood,TUR,Türkiye,Western Asia,Asia,41,40.04,2009,7
Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",COD,Democratic Republic of the Congo,Sub-Saharan Africa,Africa,,,2009,
Meteorological,Storm,Tropical cyclone,PHL,Philippines,South-eastern Asia,Asia,,,2009,5
Hydrological,Flood,Riverine flood,PAK,Pakistan,Southern Asia,Asia,24.99,67.19,2009,52
Hydrological,Flood,Flash flood,PHL,Philippines,South-eastern Asia,Asia,,,2009,
Hydrological,Flood,Riverine flood,BIH,Bosnia and Herzegovina,Southern Europe,Europe,44.87,17.48,2009,
Hydrological,Flood,Riverine flood,MNG,Mongolia,Eastern Asia,Asia,,,2009,26
Climatological,Wildfire,Forest fire,ESP,Spain,Southern Europe,Europe,,,2009,6
Climatological,Wildfire,Forest fire,FRA,France,Western Europe,Europe,,,2009,
Climatological,Wildfire,Forest fire,GRC,Greece,Southern Europe,Europe,,,2009,
Climatological,Wildfire,Forest fire,ITA,Italy,Southern Europe,Europe,,,2009,2
Meteorological,Storm,Lightning/Thunderstorms,AUT,Austria,Western Europe,Europe,,,2009,
Meteorological,Storm,Lightning/Thunderstorms,CHE,Switzerland,Western Europe,Europe,,,2009,
Meteorological,Storm,Lightning/Thunderstorms,CZE,Czechia,Eastern Europe,Europe,,,2009,2
Meteorological,Storm,Lightning/Thunderstorms,DEU,Germany,Western Europe,Europe,,,2009,1
Meteorological,Storm,Lightning/Thunderstorms,POL,Poland,Eastern Europe,Europe,,,2009,8
Hydrological,Mass movement (wet),Landslide (wet),JPN,Japan,Eastern Asia,Asia,,,2009,16
Hydrological,Mass movement (wet),Landslide (wet),JPN,Japan,Eastern Asia,Asia,,,2009,28
Hydrological,Flood,Riverine flood,AUT,Austria,Western Europe,Europe,47.4,15.71,2009,
Hydrological,Mass movement (wet),Landslide (wet),CHN,China,Eastern Asia,Asia,,,2009,54
Hydrological,Mass movement (wet),Landslide (wet),CHN,China,Eastern Asia,Asia,,,2009,23
Meteorological,Storm,Tornado,USA,United States of America,Northern America,Americas,,,2009,16
Hydrological,Flood,Flash flood,PHL,Philippines,South-eastern Asia,Asia,,,2009,22
Hydrological,Flood,Riverine flood,CHN,China,Eastern Asia,Asia,25.31,112.71,2009,90
Hydrological,Flood,Riverine flood,BGD,Bangladesh,Southern Asia,Asia,25.26,89.09,2009,6
Meteorological,Storm,Lightning/Thunderstorms,CHN,China,Eastern Asia,Asia,,,2009,17
Meteorological,Extreme temperature,Cold wave,PER,Peru,Latin America and the Caribbean,Americas,,,2009,274
Hydrological,Flood,Flash flood,IND,India,Southern Asia,Asia,,,2009,11
Hydrological,Flood,Riverine flood,BGD,Bangladesh,Southern Asia,Asia,,,2009,10
Hydrological,Mass movement (wet),Landslide (wet),NPL,Nepal,Southern Asia,Asia,,,2009,10
Hydrological,Flood,Riverine flood,GIN,Guinea,Sub-Saharan Africa,Africa,,,2009,2
Hydrological,Flood,Riverine flood,PHL,Philippines,South-eastern Asia,Asia,,,2009,
Hydrological,Mass movement (wet),Landslide (wet),CHN,China,Eastern Asia,Asia,,,2009,31
Hydrological,Mass movement (wet),Landslide (wet),IND,India,Southern Asia,Asia,,,2009,45
Meteorological,Storm,Tropical cyclone,JPN,Japan,Eastern Asia,Asia,,,2009,12
Geophysical,Earthquake,Tsunami,JPN,Japan,Eastern Asia,Asia,34.743,138.264,2009,1
Meteorological,Storm,Tropical cyclone,CHN,China,Eastern Asia,Asia,,,2009,8
Meteorological,Storm,Tropical cyclone,PHL,Philippines,South-eastern Asia,Asia,,,2009,26
Meteorological,Storm,Tropical cyclone,TWN,Taiwan (Province of China),Eastern Asia,Asia,,,2009,630
Hydrological,Flood,Riverine flood,NIC,Nicaragua,Latin America and the Caribbean,Americas,,,2009,
Hydrological,Flood,Riverine flood,SLE,Sierra Leone,Sub-Saharan Africa,Africa,8.57,-12.73,2009,103
Hydrological,Flood,Flash flood,PAK,Pakistan,Southern Asia,Asia,33.92,72.25,2009,36
Hydrological,Flood,Flash flood,LKA,Sri Lanka,Southern Asia,Asia,,,2009,
Biological,Epidemic,Bacterial disease,NGA,Nigeria,Sub-Saharan Africa,Africa,,,2009,20
Meteorological,Storm,Tropical cyclone,CAN,Canada,Northern America,Americas,,,2009,
Meteorological,Storm,Tropical cyclone,USA,United States of America,Northern America,Americas,,,2009,3
Hydrological,Flood,Riverine flood,SEN,Senegal,Sub-Saharan Africa,Africa,15.58,-16.81,2009,6
Climatological,Wildfire,Forest fire,GRC,Greece,Southern Europe,Europe,,,2009,
Hydrological,Mass movement (wet),Landslide (wet),YEM,Yemen,Western Asia,Asia,,,2009,11
Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",USA,United States of America,Northern America,Americas,,,2009,2
Hydrological,Flood,Riverine flood,MRT,Mauritania,Sub-Saharan Africa,Africa,,,2009,1
Hydrological,Flood,Flash flood,IDN,Indonesia,South-eastern Asia,Asia,,,2009,38
Geophysical,Earthquake,Ground movement,IDN,Indonesia,South-eastern Asia,Asia,-7.782,107.297,2009,128
Hydrological,Flood,Flash flood,TUR,Türkiye,Western Asia,Asia,41.09,38.95,2009,40
Meteorological,Storm,Severe weather,ARG,Argentina,Latin America and the Caribbean,Americas,,,2009,10
Meteorological,Storm,Severe weather,BRA,Brazil,Latin America and the Caribbean,Americas,,,2009,4
Meteorological,Storm,Severe weather,PRY,Paraguay,Latin America and the Caribbean,Americas,,,2009,
Biological,Epidemic,Bacterial disease,PNG,Papua New Guinea,Melanesia,Oceania,,,2009,47
Biological,Epidemic,Bacterial disease,PNG,Papua New Guinea,Melanesia,Oceania,,,2009,83
Meteorological,Storm,Tropical cyclone,PHL,Philippines,South-eastern Asia,Asia,,,2009,1
Geophysical,Earthquake,Ground movement,ALB,Albania,Southern Europe,Europe,41.483,20.388,2009,
Hydrological,Flood,Riverine flood,MEX,Mexico,Latin America and the Caribbean,Americas,19.5,-99.25,2009,4
Biological,Epidemic,Bacterial disease,ETH,Ethiopia,Sub-Saharan Africa,Africa,,,2009,135
Biological,Epidemic,Viral disease,PNG,Papua New Guinea,Melanesia,Oceania,,,2009,62
Meteorological,Storm,Tropical cyclone,PHL,Philippines,South-eastern Asia,Asia,,,2009,15
Meteorological,Storm,Tropical cyclone,PHL,Philippines,South-eastern Asia,Asia,,,2009,3
Hydrological,Flood,Riverine flood,NGA,Nigeria,Sub-Saharan Africa,Africa,12.26,5.68,2009,
Hydrological,Flood,Riverine flood,GHA,Ghana,Sub-Saharan Africa,Africa,8.85,-0.99,2009,24
Hydrological,Flood,Riverine flood,MEX,Mexico,Latin America and the Caribbean,Americas,,,2009,3
Hydrological,Flood,Riverine flood,CHN,China,Eastern Asia,Asia,26.62,105.15,2009,12
Hydrological,Flood,Riverine flood,SDN,Sudan,Northern Africa,Africa,27.01,15.98,2009,20
Hydrological,Mass movement (wet),Landslide (wet),IND,India,Southern Asia,Asia,,,2009,10
Meteorological,Storm,Tropical cyclone,MEX,Mexico,Latin America and the Caribbean,Americas,,,2009,4
Hydrological,Flood,Riverine flood,AFG,Afghanistan,Southern Asia,Asia,,,2009,11
Hydrological,Flood,Riverine flood,NER,Niger,Sub-Saharan Africa,Africa,,,2009,3
Geophysical,Earthquake,Ground movement,GEO,Georgia,Western Asia,Asia,42.66,43.443,2009,
Hydrological,Flood,Riverine flood,DZA,Algeria,Northern Africa,Africa,,,2009,15
Meteorological,Storm,Tropical cyclone,CHN,China,Eastern Asia,Asia,,,2009,13
Meteorological,Storm,Tropical cyclone,HKG,"China, Hong Kong Special Administrative Region",Eastern Asia,Asia,,,2009,
Biological,Epidemic,Viral disease,IND,India,Southern Asia,Asia,,,2009,311
Geophysical,Earthquake,Ground movement,PHL,Philippines,South-eastern Asia,Asia,6.513,124.715,2009,
Hydrological,Flood,Riverine flood,USA,United States of America,Northern America,Americas,,,2009,9
Geophysical,Earthquake,Ground movement,BTN,Bhutan,Southern Asia,Asia,-15.489,-172.095,2009,11
